"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
"RBMS1.1",3.1795157316936e-23,-0.378686220027856,0.27,0.207,2.02093199422177e-18,"Brain","RBMS1","No",NA
"RPL27.1",3.18727377650593e-23,-0.355613147848618,0.219,0.168,2.02586308508494e-18,"Brain","RPL27","No",NA
"PLCB1.1",3.39830800663096e-23,-0.759222048668581,0.318,0.308,2.1599985520947e-18,"Brain","PLCB1","Down","PLCB1"
"BCAM.1",4.87596149120984e-23,-0.741837257947879,0.09,0.111,3.09920988342789e-18,"Brain","BCAM","Down","BCAM"
"NEAT1.1",1.3339156861613e-22,-0.409254089699788,0.247,0.19,8.47850149280987e-18,"Brain","NEAT1","No",NA
"WSB1.1",1.34393558852768e-22,-0.38469666380216,0.255,0.196,8.54218899424076e-18,"Brain","WSB1","No",NA
"NSMCE2",2.66218521476165e-22,-0.359005352015284,0.187,0.144,1.69211154435465e-17,"Brain","NSMCE2","No",NA
"KIAA0355.1",4.11583803015981e-22,-0.371311803708061,0.192,0.148,2.61606781034988e-17,"Brain","KIAA0355","No",NA
"RPL8.1",4.26148397779726e-22,-0.380355032229817,0.265,0.204,2.70864183112772e-17,"Brain","RPL8","No",NA
"PXN.1",4.30790732448779e-22,-0.355154825356431,0.14,0.106,2.73814897451768e-17,"Brain","PXN","No",NA
"CAV1.1",4.57188301438759e-22,-0.935016438280913,0.174,0.187,2.9059345627749e-17,"Brain","CAV1","Down","CAV1"
"RPS4X.1",4.60326870712376e-22,-0.401867268726344,0.277,0.214,2.92588362293493e-17,"Brain","RPS4X","No",NA
"RPL19.1",6.881831299803e-22,-0.386601686075259,0.304,0.233,4.37416079246779e-17,"Brain","RPL19","No",NA
"THBD.1",7.08796721949843e-22,-0.476683423635998,0.119,0.089,4.5051828443854e-17,"Brain","THBD","No",NA
"SYNE1.1",7.45364089881916e-22,-0.860076339361973,0.095,0.115,4.73760869169844e-17,"Brain","SYNE1","Down","SYNE1"
"RRBP1.1",1.35413795864907e-21,-0.802824644949326,0.104,0.124,8.60703627896937e-17,"Brain","RRBP1","Down","RRBP1"
"APP.1",1.81231734953848e-21,-0.276919718755044,0.48,0.364,1.15192703054015e-16,"Brain","APP","No",NA
"SNX9.1",2.00200856360422e-21,-0.783070154215229,0.12,0.139,1.27249666311248e-16,"Brain","SNX9","Down","SNX9"
"SIPA1L3.1",2.25426778722939e-21,-0.316449229259816,0.123,0.093,1.43283514824087e-16,"Brain","SIPA1L3","No",NA
