"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
"HUWE1.5",1.01125420235138e-68,0.181930614398504,0.175,0.093,6.42763283556563e-64,"Pancreas","HUWE1","No",NA
"C19orf10",1.05110927618001e-68,0.217706038185468,0.109,0.049,6.68095567032779e-64,"Pancreas","C19orf10","No",NA
"TMEM109.1",1.26678490721233e-68,0.233905671474428,0.133,0.065,8.05181154873228e-64,"Pancreas","TMEM109","No",NA
"CALM3.1",1.30475071076656e-68,0.136132609174601,0.143,0.071,8.29312599270336e-64,"Pancreas","CALM3","No",NA
"UBL5",1.53892314623264e-68,0.190586520426976,0.112,0.051,9.78154940976927e-64,"Pancreas","UBL5","No",NA
"ARIH1.7",1.84934246547286e-68,0.143678837147821,0.22,0.124,1.1754605644792e-63,"Pancreas","ARIH1","No",NA
"EIF3I.1",2.33719946029383e-68,0.180660616421281,0.123,0.058,1.48554734895736e-63,"Pancreas","EIF3I","No",NA
"CAST.7",3.47905483903814e-68,0.0941006257151311,0.21,0.116,2.21132204624103e-63,"Pancreas","CAST","No",NA
"PPP1CA.1",6.14582596951565e-68,0.144820655502141,0.121,0.057,3.90634844448384e-63,"Pancreas","PPP1CA","No",NA
"HM13.2",6.65325901661413e-68,0.128984366593077,0.14,0.069,4.22887796355011e-63,"Pancreas","HM13","No",NA
"HNRNPA2B1.6",6.67190594004196e-68,0.0599974402895813,0.295,0.176,4.24073013455007e-63,"Pancreas","HNRNPA2B1","No",NA
"FAM127A",7.19688812890141e-68,0.123869041672459,0.106,0.047,4.57441406361102e-63,"Pancreas","FAM127A","No",NA
"ANKRD28.2",9.08382431332237e-68,0.206629130501587,0.138,0.068,5.77376957179083e-63,"Pancreas","ANKRD28","No",NA
"ZDHHC3",1.62151633206527e-67,0.238337993449654,0.103,0.046,1.030651995824e-62,"Pancreas","ZDHHC3","No",NA
"ATXN3.2",1.67773987374392e-67,0.237990188098556,0.121,0.057,1.06638824115038e-62,"Pancreas","ATXN3","No",NA
"ARHGAP17.1",2.31827792820048e-67,0.212929345280836,0.127,0.061,1.4735206339435e-62,"Pancreas","ARHGAP17","No",NA
"RHOBTB3",3.00500270392609e-67,0.169773751579083,0.1,0.044,1.91000976864246e-62,"Pancreas","RHOBTB3","No",NA
"TOMM20",4.58112432055428e-67,0.174530299663817,0.104,0.047,2.91180842938751e-62,"Pancreas","TOMM20","No",NA
"SCAF11.7",6.73663580100143e-67,0.111611947708855,0.237,0.136,4.28187308147452e-62,"Pancreas","SCAF11","No",NA
"AP3D1",8.7079831187093e-67,0.219842739206989,0.104,0.047,5.53488115008282e-62,"Pancreas","AP3D1","No",NA
"PIEZO1",1.2549964559602e-66,0.210428840000409,0.103,0.046,7.97688297372862e-62,"Pancreas","PIEZO1","No",NA
"CLDN5.9",1.47356884465806e-66,0.218361608823604,0.389,0.249,9.36615093353111e-62,"Pancreas","CLDN5","No",NA
"PHC2.2",1.55949034784656e-66,0.206058680466398,0.138,0.069,9.91227659994753e-62,"Pancreas","PHC2","No",NA
"GSTK1",2.08849036239242e-66,0.116744833457691,0.103,0.046,1.32746535924025e-61,"Pancreas","GSTK1","No",NA
"ARHGEF28.3",2.83841227100728e-66,0.277098361129685,0.112,0.052,1.80412322357494e-61,"Pancreas","ARHGEF28","No",NA
"DEK.2",3.70719712188682e-66,0.127879196051623,0.153,0.079,2.35633156264248e-61,"Pancreas","DEK","No",NA
"PICALM.7",5.35146843148749e-66,0.160981980388962,0.282,0.17,3.40144684973776e-61,"Pancreas","PICALM","No",NA
"H1F0.1",6.93971969396166e-66,0.130089303703621,0.136,0.067,4.41095523467897e-61,"Pancreas","H1F0","No",NA
"SPRY1.1",7.51112432175614e-66,0.349361755503571,0.113,0.053,4.77414573015142e-61,"Pancreas","SPRY1","No",NA
