"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
"NFIB.9",4.12223453879514e-175,0.4137684629584,0.677,0.421,2.62013349520358e-170,"Pancreas","NFIB","No",NA
"MECOM.4",1.04552978023049e-175,0.346477462939659,0.466,0.248,6.64549183612301e-171,"Pancreas","MECOM","No",NA
"ZFP36L1.9",8.31488465472674e-107,0.307245697012522,0.546,0.345,5.28502383539087e-102,"Pancreas","ZFP36L1","No",NA
"ELK3",2.90544728235629e-123,0.18145562483383,0.4,0.22,1.84673134713848e-118,"Pancreas","ELK3","No",NA
"EPAS1.10",4.67315750087577e-84,0.105950187165812,0.547,0.346,2.97030563913165e-79,"Pancreas","EPAS1","No",NA
"FLI1.2",3.2929320000117e-55,-0.0255496530764594,0.362,0.23,2.09302050852744e-50,"Pancreas","FLI1","No",NA
"MEF2C.4",9.46726549763117e-25,-0.201072480204557,0.433,0.309,6.01748862294935e-20,"Pancreas","MEF2C","No",NA
"RERE.8",0.000314186050565693,-0.283777992413999,0.42,0.34,1,"Pancreas","RERE","No",NA
"FOXP1.9",6.18800641761e-08,-0.330467943234928,0.481,0.371,0.00393315875909709,"Pancreas","FOXP1","No",NA
"TCF12.6",0.00034257303154251,-0.568310936751205,0.365,0.334,1,"Pancreas","TCF12","No",NA
"MEOX2",0,3.52636822524727,0.421,0.027,0,"Placenta","MEOX2","Up","MEOX2"
"ZBTB20.2",5.67698931186629e-213,1.89905503632563,0.56,0.272,3.60835117651533e-208,"Placenta","ZBTB20","Up","ZBTB20"
"EPAS1.11",4.47904445836278e-239,1.71859541232868,0.653,0.352,2.84692544817997e-234,"Placenta","EPAS1","Up","EPAS1"
"DACH1.4",9.45499587622668e-13,0.515486243059235,0.354,0.291,6.00968992888844e-08,"Placenta","DACH1","Up","DACH1"
"NFIB.10",0.00180730869851781,0.284044013539788,0.426,0.435,1,"Placenta","NFIB","No",NA
"TCF4.9",0.00147010037510971,0.168878486843467,0.514,0.515,1,"Placenta","TCF4","No",NA
"ZFP36L1.10",3.74454018829743e-10,-0.183920539294798,0.253,0.358,2.38006718908373e-05,"Placenta","ZFP36L1","No",NA
"MECOM.5",2.43893339810739e-46,0.567924677437209,0.36,0.256,1.55021045717104e-41,"Spleen","MECOM","Up","MECOM"
"EBF1.6",2.25478650354524e-23,0.50214319031629,0.365,0.303,1.43316484951839e-18,"Spleen","EBF1","Up","EBF1"
